run_id,run_number,commit_sha,commit_message,status,job_name,step_name,step_status,step_number,step_started_at,step_completed_at,step_duration,scenario_id,execution_mode,cache
26888673945,1,88e554fa93a1111b5ec92d0a0f0f18ea7fd3ede4,Add CI metrics experiment scaffold,success,Lint,Post Set up Python,success,11,2026-06-03T13:41:43Z,2026-06-03T13:41:45Z,2.0,baseline,parallel,enabled
26888673945,1,88e554fa93a1111b5ec92d0a0f0f18ea7fd3ede4,Add CI metrics experiment scaffold,success,Lint,Post Checkout,success,12,2026-06-03T13:41:45Z,2026-06-03T13:41:45Z,0.0,baseline,parallel,enabled
26888673945,1,88e554fa93a1111b5ec92d0a0f0f18ea7fd3ede4,Add CI metrics experiment scaffold,success,Lint,Complete job,success,13,2026-06-03T13:41:45Z,2026-06-03T13:41:45Z,0.0,baseline,parallel,enabled
26888748493,2,f6d337a996d107dd279f58cc2c0066b58361482e,Update GitHub Actions versions,success,Prepare scenario,Set up job,success,1,2026-06-03T13:42:40Z,2026-06-03T13:42:41Z,1.0,baseline,parallel,enabled
26888748493,2,f6d337a996d107dd279f58cc2c0066b58361482e,Update GitHub Actions versions,success,Prepare scenario,Checkout,success,2,2026-06-03T13:42:41Z,2026-06-03T13:42:41Z,0.0,baseline,parallel,enabled
26888748493,2,f6d337a996d107dd279f58cc2c0066b58361482e,Update GitHub Actions versions,success,Prepare scenario,Read experiment scenario,success,3,2026-06-03T13:42:41Z,2026-06-03T13:42:41Z,0.0,baseline,parallel,enabled
26888748493,2,f6d337a996d107dd279f58cc2c0066b58361482e,Update GitHub Actions versions,success,Prepare scenario,Post Checkout,success,6,2026-06-03T13:42:41Z,2026-06-03T13:42:42Z,1.0,baseline,parallel,enabled
26888748493,2,f6d337a996d107dd279f58cc2c0066b58361482e,Update GitHub Actions versions,success,Prepare scenario,Complete job,success,7,2026-06-03T13:42:42Z,2026-06-03T13:42:42Z,0.0,baseline,parallel,enabled
26888748493,2,f6d337a996d107dd279f58cc2c0066b58361482e,Update GitHub Actions versions,success,Tests parallel,Set up job,success,1,2026-06-03T13:42:46Z,2026-06-03T13:42:47Z,1.0,baseline,parallel,enabled
26888748493,2,f6d337a996d107dd279f58cc2c0066b58361482e,Update GitHub Actions versions,success,Tests parallel,Checkout,success,2,2026-06-03T13:42:47Z,2026-06-03T13:42:47Z,0.0,baseline,parallel,enabled
26888748493,2,f6d337a996d107dd279f58cc2c0066b58361482e,Update GitHub Actions versions,success,Tests parallel,Set up Python,success,3,2026-06-03T13:42:47Z,2026-06-03T13:42:48Z,1.0,baseline,parallel,enabled
26888748493,2,f6d337a996d107dd279f58cc2c0066b58361482e,Update GitHub Actions versions,success,Tests parallel,Install dependencies,success,4,2026-06-03T13:42:48Z,2026-06-03T13:42:54Z,6.0,baseline,parallel,enabled
26888748493,2,f6d337a996d107dd279f58cc2c0066b58361482e,Update GitHub Actions versions,success,Tests parallel,Run Pytest,success,5,2026-06-03T13:42:54Z,2026-06-03T13:42:55Z,1.0,baseline,parallel,enabled
26888748493,2,f6d337a996d107dd279f58cc2c0066b58361482e,Update GitHub Actions versions,success,Tests parallel,Summarize test results,success,6,2026-06-03T13:42:55Z,2026-06-03T13:42:55Z,0.0,baseline,parallel,enabled
