run_id,run_number,run_url,commit_sha,commit_short_sha,commit_message,status,workflow_duration,test_count,test_failures,test_average_time,test_total_time,timestamp,scenario_id,execution_mode,cache,generated_test_count,slow_test_delay_seconds,failing_case,scenario_notes,job_name,job_status,job_duration
26888817920,5,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888817920,455c157558ed56f8ce38ee131066553bcbe4d3f9,455c157,Experiment introduce failing generated test,failure,27.0,25,1,0.0032,0.081,2026-06-03T13:43:47Z,r06_failure,parallel,enabled,18,0.0,3,Falha proposital em um caso gerado para medir pipeline vermelho.,Prepare scenario,success,3.0
26888817920,5,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888817920,455c157558ed56f8ce38ee131066553bcbe4d3f9,455c157,Experiment introduce failing generated test,failure,27.0,25,1,0.0032,0.081,2026-06-03T13:43:47Z,r06_failure,parallel,enabled,18,0.0,3,Falha proposital em um caso gerado para medir pipeline vermelho.,Tests parallel,failure,17.0
26888817920,5,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888817920,455c157558ed56f8ce38ee131066553bcbe4d3f9,455c157,Experiment introduce failing generated test,failure,27.0,25,1,0.0032,0.081,2026-06-03T13:43:47Z,r06_failure,parallel,enabled,18,0.0,3,Falha proposital em um caso gerado para medir pipeline vermelho.,Lint,success,14.0
26888817920,5,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888817920,455c157558ed56f8ce38ee131066553bcbe4d3f9,455c157,Experiment introduce failing generated test,failure,27.0,25,1,0.0032,0.081,2026-06-03T13:43:47Z,r06_failure,parallel,enabled,18,0.0,3,Falha proposital em um caso gerado para medir pipeline vermelho.,Tests sequential,skipped,0.0
26888818644,6,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888818644,12be66ce3d3ec254cf4c31df45487e9b4354c259,12be66c,Experiment add slow generated tests,success,31.0,25,0,0.0248,0.62,2026-06-03T13:43:48Z,r05_slow_tests,parallel,enabled,18,0.03,,Introducao de atraso controlado nos testes gerados.,Prepare scenario,success,6.0
26888818644,6,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888818644,12be66ce3d3ec254cf4c31df45487e9b4354c259,12be66c,Experiment add slow generated tests,success,31.0,25,0,0.0248,0.62,2026-06-03T13:43:48Z,r05_slow_tests,parallel,enabled,18,0.03,,Introducao de atraso controlado nos testes gerados.,Tests parallel,success,17.0
26888818644,6,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888818644,12be66ce3d3ec254cf4c31df45487e9b4354c259,12be66c,Experiment add slow generated tests,success,31.0,25,0,0.0248,0.62,2026-06-03T13:43:48Z,r05_slow_tests,parallel,enabled,18,0.03,,Introducao de atraso controlado nos testes gerados.,Lint,success,12.0
26888818644,6,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888818644,12be66ce3d3ec254cf4c31df45487e9b4354c259,12be66c,Experiment add slow generated tests,success,31.0,25,0,0.0248,0.62,2026-06-03T13:43:48Z,r05_slow_tests,parallel,enabled,18,0.03,,Introducao de atraso controlado nos testes gerados.,Tests sequential,skipped,0.0
26888820058,7,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888820058,7c332ccb15b28829ada7a8ba3803fff50ec68656,7c332cc,Experiment recover failed test,success,32.0,25,0,0.0021,0.052,2026-06-03T13:43:49Z,r07_recovery,parallel,enabled,18,0.0,,Recuperacao apos falha proposital mantendo volume de testes.,Prepare scenario,success,6.0
26888820058,7,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888820058,7c332ccb15b28829ada7a8ba3803fff50ec68656,7c332cc,Experiment recover failed test,success,32.0,25,0,0.0021,0.052,2026-06-03T13:43:49Z,r07_recovery,parallel,enabled,18,0.0,,Recuperacao apos falha proposital mantendo volume de testes.,Lint,success,11.0
